"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON", "HTML", "TypeScript JSX", "PostCSS", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\.cursor\environment.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ADMIN_ONLY_COMPLETE_LOCKDOWN.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 165, 3, 181
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ADMIN_UI_CONTROLS_COMPLETE.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 126, 23, 317
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ADMIN_UX_COMPLETE_SOLUTION.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 187, 3, 210
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\API_DATA_FETCHING_RESTORED.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 104, 9, 142
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTHENTICATION_DEBUG_MODE.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 95, 9, 123
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTHENTICATION_ERROR_HANDLING_SOLVED.md", "Markdown", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 63, 234
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTHENTICATION_FLOW_COMPLETE_GUIDE.md", "Markdown", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 80, 332
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTOMATIC_TOKEN_REFRESH_SOLUTION.md", "Markdown", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 34, 149
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\AUTO_LOGIN_BEST_PRACTICES.md", "Markdown", 0, 0, 252, 0, 0, 0, 0, 0, 0, 1, 76, 329
