"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\# Code Citations.md", "Markdown", 1006, 0, 0, 0, 0, 0, 0, 0, 317, 1323
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\API_CLIENT_COMPARISON_ANALYSIS.md", "Markdown", 278, 0, 0, 0, 0, 0, 0, 0, 102, 380
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_COMPLETION_DATE_FIX_COMPLETE.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 88, 3, 121
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_COMPLETION_DATE_TESTING_PLAN.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 19, 14, 116
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_DROPDOWN_DARK_MODE_FIX.md", "Markdown", 182, 0, 0, 0, 0, 0, 0, 0, 57, 239
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ARCHIVE_RESPONSIVE_ENHANCEMENT_SUMMARY.md", "Markdown", 102, 0, 0, 0, 0, 0, 0, 0, 45, 147
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\BADGE_INTEGRATION_GUIDE.md", "Markdown", 636, 0, 0, 0, 0, 0, 0, 0, 128, 764
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CLIENT_RATE_LIMITING_ANALYSIS.md", "Markdown", 156, 0, 0, 0, 0, 0, 0, 0, 49, 205
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_ARCHITECTURE_GUIDE.md", "Markdown", 380, 0, 0, 0, 0, 0, 0, 0, 137, 517
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_BADGE_INTEGRATION_COMPLETE.js", "JavaScript", 0, 170, 0, 0, 0, 0, 0, 141, 45, 356
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_COMPONENT_EXTRACTION_ANALYSIS.md", "Markdown", 220, 0, 0, 0, 0, 0, 0, 0, 66, 286
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_IMPLEMENTATION_SUCCESS.md", "Markdown", 151, 0, 0, 0, 0, 0, 0, 0, 72, 223
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENVIRONMENT_LOADING_TIMING_ANALYSIS.md", "Markdown", 163, 0, 0, 0, 0, 0, 0, 0, 63, 226
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\FETCHAUTH_VS_CLIENT_FEATURE_ANALYSIS.md", "Markdown", 229, 0, 0, 0, 0, 0, 0, 0, 69, 298
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ICON_FIXES_COMPLETE.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 14, 7, 86
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LEADERBOARD_IMPROVEMENTS_SUMMARY.md", "Markdown", 156, 0, 0, 0, 0, 0, 0, 0, 37, 193
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LEADERBOARD_OPTIMIZATION_ANALYSIS.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 174, 22, 197
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\LEADERBOARD_OPTIMIZATION_COMPLETE.js", "JavaScript", 0, 156, 0, 0, 0, 0, 0, 77, 29, 262
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\MOBILE_BREAKPOINT_OPTIMIZATION.js", "JavaScript", 0, 256, 0, 0, 0, 0, 0, 74, 45, 375
