Date : 2025-08-11 16:03:37
Directory : c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion
Total : 364 files,  68791 codes, 9615 comments, 9647 blanks, all 88053 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         98 |     16,572 |      3,598 |      2,466 |     22,636 |
| JSON               |          7 |     15,907 |          0 |          5 |     15,912 |
| TypeScript JSX     |         91 |     12,379 |        769 |      1,469 |     14,617 |
| Markdown           |         59 |     11,960 |          4 |      3,897 |     15,861 |
| JavaScript         |         89 |      8,441 |      5,178 |      1,475 |     15,094 |
| HTML               |         13 |      3,311 |         47 |        313 |      3,671 |
| PostCSS            |          1 |        189 |         19 |         21 |        229 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        364 |     68,791 |      9,615 |      9,647 |     88,053 |
| . (Files)                                                                                                          |        152 |     35,680 |      5,236 |      4,700 |     45,616 |
| .cursor                                                                                                            |          1 |          3 |          0 |          0 |          3 |
| __mocks__                                                                                                          |          1 |          1 |          1 |          1 |          3 |
| docs                                                                                                               |         14 |      3,039 |          0 |        860 |      3,899 |
| examples                                                                                                           |          3 |        215 |        423 |         45 |        683 |
| public                                                                                                             |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                                |        188 |     29,848 |      3,955 |      4,041 |     37,844 |
| src (Files)                                                                                                        |          3 |        441 |         66 |         81 |        588 |
| src\ai                                                                                                             |          2 |          6 |          1 |          3 |         10 |
| src\app                                                                                                            |         42 |      4,094 |        574 |        538 |      5,206 |
| src\app (Files)                                                                                                    |          3 |        237 |         39 |         26 |        302 |
| src\app\[locale]                                                                                                   |         11 |        370 |         28 |         71 |        469 |
| src\app\[locale] (Files)                                                                                           |          2 |        141 |         13 |         34 |        188 |
| src\app\[locale]\archive                                                                                           |          1 |         13 |          0 |          8 |         21 |
| src\app\[locale]\badges                                                                                            |          1 |         23 |          1 |          3 |         27 |
| src\app\[locale]\leaderboard                                                                                       |          1 |         23 |          0 |          3 |         26 |
| src\app\[locale]\login                                                                                             |          1 |         10 |          0 |          3 |         13 |
