"filename", "language", "Markdown", "HTML", "JavaScript", "PostCSS", "TypeScript", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COMPLETION_KEY_DEBUGGING_COMPREHENSIVE.md", "Markdown", 138, 0, 0, 0, 0, 0, 0, 0, 54, 192
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\COMPONENTS_ARCHITECTURE_ANALYSIS.md", "Markdown", 352, 0, 0, 0, 0, 0, 0, 0, 99, 451
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CONFIRMCOMPLETION_CRITICAL_FIX_APPLIED.md", "Markdown", 112, 0, 0, 0, 0, 0, 0, 0, 50, 162
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CORRECTED_FLOW_IMPLEMENTATION_PLAN.md", "Markdown", 67, 0, 0, 0, 0, 0, 0, 0, 34, 101
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CORRECTED_startCompletion_FUNCTION.js", "JavaScript", 0, 0, 318, 0, 0, 0, 0, 21, 46, 385
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CRITICAL_FIXES_APPLIED_TIMER_CONFIRMCOMPLETION.md", "Markdown", 99, 0, 0, 0, 0, 0, 0, 0, 40, 139
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\CRITICAL_ISSUES_AND_SOLUTIONS.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 34, 102
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\DASHBOARD_ENTERPRISE_IMPLEMENTATION_GUIDE.md", "Markdown", 122, 0, 0, 0, 0, 0, 0, 0, 51, 173
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\DASHBOARD_ENTERPRISE_REFACTORING_COMPLETE.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 159, 16, 187
"c:\Users\dell\WebstormProjects\ChoreChampion\chorechampion\ENTERPRISE_FILTERING_IMPLEMENTATION.md", "Markdown", 197, 0, 0, 0, 0, 0, 0, 0, 72, 269
